episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event
0,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
1,0.05,73.0,49,1,7,0,1,1,GOAL_REACHED
2,0.05,-44.0,50,0,6,0,1,0,ENERGY_DEPLETED
3,0.05,106.0,44,1,0,0,1,6,GOAL_REACHED
4,0.05,98.0,44,1,2,0,1,6,GOAL_REACHED
5,0.05,90.0,44,1,4,0,1,6,GOAL_REACHED
6,0.05,90.0,44,1,4,0,1,6,GOAL_REACHED
7,0.05,99.0,47,1,1,0,1,3,GOAL_REACHED
8,0.05,90.0,44,1,4,0,1,6,GOAL_REACHED
9,0.05,72.0,46,1,8,0,1,4,GOAL_REACHED
10,0.05,102.0,48,1,0,0,1,2,GOAL_REACHED
11,0.05,-41.0,50,0,3,1,1,0,ENERGY_DEPLETED
12,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
13,0.05,81.0,49,1,5,0,1,1,GOAL_REACHED
14,0.05,83.0,50,1,2,1,1,0,GOAL_REACHED
15,0.05,98.0,44,1,2,0,1,6,GOAL_REACHED
16,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
17,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
18,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
19,0.05,90.0,44,1,4,0,1,6,GOAL_REACHED
20,0.05,-40.0,50,0,4,0,1,0,ENERGY_DEPLETED
21,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
22,0.05,94.0,48,1,2,0,1,2,GOAL_REACHED
23,0.05,95.0,46,1,0,1,1,4,GOAL_REACHED
24,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
25,0.05,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED
26,0.05,-44.0,50,0,5,0,1,0,ENERGY_DEPLETED
27,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
28,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
29,0.05,76.0,50,1,6,0,1,0,GOAL_REACHED
30,0.05,-44.0,50,0,6,0,1,0,ENERGY_DEPLETED
31,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
32,0.05,-53.0,50,0,6,1,1,0,ENERGY_DEPLETED
33,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
34,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
35,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
36,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
37,0.05,85.0,48,1,2,1,1,2,GOAL_REACHED
38,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
39,0.05,94.0,48,1,2,0,1,2,GOAL_REACHED
40,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
41,0.05,-62.0,50,0,6,2,1,0,ENERGY_DEPLETED
42,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
43,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
44,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
45,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
46,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
47,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
48,0.05,75.0,50,1,4,1,1,0,GOAL_REACHED
