episode,step,r,c,k,e,action,reward,nr,nc,nk,ne,done,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
0,0,0,0,0,50,LEFT,-5.0,0,0,0,49,0,0.0,0.0,-5.0,-5.0,-1.0,0.2,0.99,1.0
0,1,0,0,0,49,DOWN,-1.0,1,0,0,48,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,2,1,0,0,48,UP,-1.0,0,0,0,47,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,3,0,0,0,47,RIGHT,-1.0,0,1,0,46,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,4,0,1,0,46,UP,-5.0,0,1,0,45,0,0.0,0.0,-5.0,-5.0,-1.0,0.2,0.99,1.0
0,5,0,1,0,45,UP,-5.0,0,1,0,44,0,0.0,0.0,-5.0,-5.0,-1.0,0.2,0.99,1.0
0,6,0,1,0,44,DOWN,-1.0,1,1,0,43,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,7,1,1,0,43,RIGHT,-1.0,2,1,0,42,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,8,2,1,0,42,RIGHT,-1.0,2,2,0,41,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,9,2,2,0,41,DOWN,-1.0,3,2,0,40,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,10,3,2,0,40,DOWN,-1.0,4,2,0,39,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,11,4,2,0,39,UP,-1.0,3,2,0,38,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,12,3,2,0,38,RIGHT,-1.0,4,2,0,37,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,13,4,2,0,37,UP,-1.0,3,2,0,36,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,14,3,2,0,36,DOWN,-1.0,4,2,0,35,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,15,4,2,0,35,RIGHT,-1.0,4,3,0,34,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,16,4,3,0,34,LEFT,-1.0,4,2,0,33,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,17,4,2,0,33,RIGHT,-1.0,4,3,0,32,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,18,4,3,0,32,UP,-1.0,4,4,0,31,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,19,4,4,0,31,UP,-5.0,4,4,0,30,0,0.0,0.0,-5.0,-5.0,-1.0,0.2,0.99,1.0
0,20,4,4,0,30,UP,-5.0,4,4,0,29,0,0.0,0.0,-5.0,-5.0,-1.0,0.2,0.99,1.0
0,21,4,4,0,29,RIGHT,-1.0,5,4,0,28,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,22,5,4,0,28,DOWN,-1.0,6,4,0,27,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,23,6,4,0,27,UP,-1.0,5,4,0,26,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,24,5,4,0,26,UP,-1.0,4,4,0,25,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,25,4,4,0,25,DOWN,-1.0,4,5,0,24,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,26,4,5,0,24,DOWN,-1.0,4,4,0,23,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,27,4,4,0,23,UP,-5.0,4,4,0,22,0,0.0,0.0,-5.0,-5.0,-1.0,0.2,0.99,1.0
0,28,4,4,0,22,UP,-5.0,4,4,0,21,0,0.0,0.0,-5.0,-5.0,-1.0,0.2,0.99,1.0
0,29,4,4,0,21,RIGHT,-1.0,4,5,0,20,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,30,4,5,0,20,DOWN,-1.0,5,5,0,19,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,31,5,5,0,19,RIGHT,-1.0,5,6,0,18,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
