episode,step,row,col,key,energy,intended_action,effective_action,next_row,next_col,next_key,next_energy,reward,event,done
0,0,0,0,0,50,LEFT,LEFT,0,0,0,49,-5.0,WALL_HIT,0
0,1,0,0,0,49,DOWN,DOWN,1,0,0,48,-1.0,MOVE,0
0,2,1,0,0,48,UP,UP,0,0,0,47,-1.0,MOVE,0
0,3,0,0,0,47,RIGHT,RIGHT,0,1,0,46,-1.0,MOVE,0
0,4,0,1,0,46,UP,UP,0,1,0,45,-5.0,WALL_HIT,0
0,5,0,1,0,45,UP,UP,0,1,0,44,-5.0,WALL_HIT,0
0,6,0,1,0,44,DOWN,DOWN,1,1,0,43,-1.0,MOVE,0
0,7,1,1,0,43,RIGHT,DOWN,2,1,0,42,-1.0,MOVE,0
0,8,2,1,0,42,RIGHT,RIGHT,2,2,0,41,-1.0,MOVE,0
0,9,2,2,0,41,DOWN,DOWN,3,2,0,40,-1.0,MOVE,0
0,10,3,2,0,40,DOWN,DOWN,4,2,0,39,-1.0,MOVE,0
0,11,4,2,0,39,UP,UP,3,2,0,38,-1.0,MOVE,0
0,12,3,2,0,38,RIGHT,DOWN,4,2,0,37,-1.0,MOVE,0
0,13,4,2,0,37,UP,UP,3,2,0,36,-1.0,MOVE,0
0,14,3,2,0,36,DOWN,DOWN,4,2,0,35,-1.0,MOVE,0
0,15,4,2,0,35,RIGHT,RIGHT,4,3,0,34,-1.0,MOVE,0
0,16,4,3,0,34,LEFT,LEFT,4,2,0,33,-1.0,MOVE,0
0,17,4,2,0,33,RIGHT,RIGHT,4,3,0,32,-1.0,MOVE,0
0,18,4,3,0,32,UP,RIGHT,4,4,0,31,-1.0,MOVE,0
0,19,4,4,0,31,UP,UP,4,4,0,30,-5.0,WALL_HIT,0
0,20,4,4,0,30,UP,UP,4,4,0,29,-5.0,WALL_HIT,0
0,21,4,4,0,29,RIGHT,DOWN,5,4,0,28,-1.0,MOVE,0
0,22,5,4,0,28,DOWN,DOWN,6,4,0,27,-1.0,MOVE,0
0,23,6,4,0,27,UP,UP,5,4,0,26,-1.0,MOVE,0
0,24,5,4,0,26,UP,UP,4,4,0,25,-1.0,MOVE,0
0,25,4,4,0,25,DOWN,RIGHT,4,5,0,24,-1.0,MOVE,0
0,26,4,5,0,24,DOWN,LEFT,4,4,0,23,-1.0,MOVE,0
0,27,4,4,0,23,UP,UP,4,4,0,22,-5.0,WALL_HIT,0
0,28,4,4,0,22,UP,UP,4,4,0,21,-5.0,WALL_HIT,0
0,29,4,4,0,21,RIGHT,RIGHT,4,5,0,20,-1.0,MOVE,0
0,30,4,5,0,20,DOWN,DOWN,5,5,0,19,-1.0,MOVE,0
0,31,5,5,0,19,RIGHT,RIGHT,5,6,0,18,-1.0,MOVE,0
0,32,5,6,0,18,UP,UP,4,6,0,17,-1.0,MOVE,0
0,33,4,6,0,17,DOWN,DOWN,5,6,0,16,-1.0,MOVE,0
0,34,5,6,0,16,UP,LEFT,5,5,0,15,-1.0,MOVE,0
0,35,5,5,0,15,DOWN,DOWN,6,5,0,14,-1.0,MOVE,0
0,36,6,5,0,14,UP,UP,5,5,0,13,-1.0,MOVE,0
0,37,5,5,0,13,RIGHT,RIGHT,5,6,0,12,-1.0,MOVE,0
0,38,5,6,0,12,DOWN,DOWN,6,6,0,11,-1.0,MOVE,0
0,39,6,6,0,11,UP,UP,5,6,0,10,-1.0,MOVE,0
0,40,5,6,0,10,UP,UP,4,6,0,9,-1.0,MOVE,0
0,41,4,6,0,9,UP,UP,3,6,0,8,-1.0,MOVE,0
0,42,3,6,0,8,LEFT,LEFT,3,5,0,7,-1.0,MOVE,0
0,43,3,5,0,7,RIGHT,RIGHT,3,6,0,6,-1.0,MOVE,0
0,44,3,6,0,6,UP,UP,2,6,0,5,-1.0,MOVE,0
0,45,2,6,0,5,LEFT,UP,1,6,0,4,-1.0,MOVE,0
0,46,1,6,0,4,UP,RIGHT,1,7,0,3,-1.0,MOVE,0
0,47,1,7,0,3,RIGHT,RIGHT,1,8,0,2,-1.0,MOVE,0
0,48,1,8,0,2,UP,UP,0,8,0,1,-1.0,MOVE,0
0,49,0,8,0,1,LEFT,LEFT,0,7,0,0,-21.0,ENERGY_DEPLETED,1
1,0,0,0,0,50,UP,UP,0,0,0,49,-5.0,WALL_HIT,0
1,1,0,0,0,49,RIGHT,RIGHT,0,1,0,48,-1.0,MOVE,0
1,2,0,1,0,48,DOWN,DOWN,1,1,0,47,-1.0,MOVE,0
1,3,1,1,0,47,UP,UP,0,1,0,46,-1.0,MOVE,0
1,4,0,1,0,46,DOWN,DOWN,1,1,0,45,-1.0,MOVE,0
1,5,1,1,0,45,RIGHT,RIGHT,1,1,0,44,-5.0,WALL_HIT,0
1,6,1,1,0,44,LEFT,LEFT,1,0,0,43,-1.0,MOVE,0
1,7,1,0,0,43,LEFT,LEFT,1,0,0,42,-5.0,WALL_HIT,0
1,8,1,0,0,42,LEFT,DOWN,2,0,0,41,-1.0,MOVE,0
1,9,2,0,0,41,DOWN,DOWN,2,0,0,40,-5.0,WALL_HIT,0
1,10,2,0,0,40,DOWN,DOWN,2,0,0,39,-5.0,WALL_HIT,0
1,11,2,0,0,39,DOWN,DOWN,2,0,0,38,-5.0,WALL_HIT,0
1,12,2,0,0,38,UP,UP,1,0,0,37,-1.0,MOVE,0
1,13,1,0,0,37,RIGHT,DOWN,2,0,0,36,-1.0,MOVE,0
1,14,2,0,0,36,UP,RIGHT,2,1,0,35,-1.0,MOVE,0
1,15,2,1,0,35,LEFT,DOWN,3,1,0,34,-1.0,MOVE,0
1,16,3,1,0,34,RIGHT,RIGHT,3,2,0,33,-1.0,MOVE,0
1,17,3,2,0,33,DOWN,RIGHT,3,3,0,32,-1.0,MOVE,0
1,18,3,3,0,32,LEFT,LEFT,3,2,0,31,-1.0,MOVE,0
1,19,3,2,0,31,UP,UP,2,2,0,30,-1.0,MOVE,0
1,20,2,2,0,30,DOWN,DOWN,3,2,0,29,-1.0,MOVE,0
1,21,3,2,0,29,RIGHT,RIGHT,3,3,0,28,-1.0,MOVE,0
1,22,3,3,0,28,DOWN,DOWN,4,3,0,27,-1.0,MOVE,0
1,23,4,3,0,27,LEFT,LEFT,4,2,0,26,-1.0,MOVE,0
1,24,4,2,0,26,RIGHT,UP,3,2,0,25,-1.0,MOVE,0
1,25,3,2,0,25,UP,UP,2,2,0,24,-1.0,MOVE,0
1,26,2,2,0,24,DOWN,RIGHT,2,3,0,23,-1.0,MOVE,0
1,27,2,3,0,23,UP,UP,1,3,0,22,-1.0,MOVE,0
1,28,1,3,0,22,DOWN,DOWN,2,3,0,21,-1.0,MOVE,0
1,29,2,3,0,21,DOWN,DOWN,3,3,0,20,-1.0,MOVE,0
1,30,3,3,0,20,RIGHT,DOWN,4,3,0,19,-1.0,MOVE,0
1,31,4,3,0,19,RIGHT,DOWN,5,3,0,18,-1.0,MOVE,0
1,32,5,3,0,18,RIGHT,RIGHT,5,4,0,17,-1.0,MOVE,0
1,33,5,4,0,17,LEFT,LEFT,5,3,0,16,-1.0,MOVE,0
1,34,5,3,0,16,UP,UP,4,3,0,15,-1.0,MOVE,0
1,35,4,3,0,15,RIGHT,UP,3,3,0,14,-1.0,MOVE,0
1,36,3,3,0,14,UP,UP,2,3,0,13,-1.0,MOVE,0
1,37,2,3,0,13,LEFT,LEFT,2,2,0,12,-1.0,MOVE,0
1,38,2,2,0,12,DOWN,DOWN,3,2,0,11,-1.0,MOVE,0
1,39,3,2,0,11,UP,UP,2,2,0,10,-1.0,MOVE,0
1,40,2,2,0,10,RIGHT,UP,2,2,0,9,-5.0,WALL_HIT,0
1,41,2,2,0,9,RIGHT,RIGHT,2,3,0,8,-1.0,MOVE,0
1,42,2,3,0,8,UP,UP,1,3,0,7,-1.0,MOVE,0
1,43,1,3,0,7,UP,UP,0,3,0,6,-1.0,MOVE,0
1,44,0,3,0,6,RIGHT,RIGHT,0,3,0,5,-5.0,WALL_HIT,0
1,45,0,3,0,5,RIGHT,RIGHT,0,3,0,4,-5.0,WALL_HIT,0
1,46,0,3,0,4,UP,UP,0,3,0,3,-5.0,WALL_HIT,0
1,47,0,3,0,3,UP,UP,0,3,0,2,-5.0,WALL_HIT,0
1,48,0,3,0,2,RIGHT,RIGHT,0,3,0,1,-5.0,WALL_HIT,0
1,49,0,3,0,1,UP,UP,0,3,0,0,-25.0,ENERGY_DEPLETED,1
2,0,0,0,0,50,UP,RIGHT,0,1,0,49,-1.0,MOVE,0
2,1,0,1,0,49,DOWN,DOWN,1,1,0,48,-1.0,MOVE,0
2,2,1,1,0,48,UP,UP,0,1,0,47,-1.0,MOVE,0
2,3,0,1,0,47,RIGHT,RIGHT,0,2,0,46,-1.0,MOVE,0
2,4,0,2,0,46,RIGHT,UP,0,2,0,45,-5.0,WALL_HIT,0
2,5,0,2,0,45,UP,UP,0,2,0,44,-5.0,WALL_HIT,0
2,6,0,2,0,44,LEFT,LEFT,0,1,0,43,-1.0,MOVE,0
2,7,0,1,0,43,RIGHT,RIGHT,0,2,0,42,-1.0,MOVE,0
2,8,0,2,0,42,RIGHT,RIGHT,0,3,0,41,-1.0,MOVE,0
2,9,0,3,0,41,DOWN,RIGHT,0,3,0,40,-5.0,WALL_HIT,0
2,10,0,3,0,40,LEFT,LEFT,0,2,0,39,-1.0,MOVE,0
2,11,0,2,0,39,RIGHT,DOWN,0,2,0,38,-5.0,WALL_HIT,0
2,12,0,2,0,38,DOWN,DOWN,0,2,0,37,-5.0,WALL_HIT,0
2,13,0,2,0,37,UP,RIGHT,0,3,0,36,-1.0,MOVE,0
2,14,0,3,0,36,UP,UP,0,3,0,35,-5.0,WALL_HIT,0
2,15,0,3,0,35,UP,UP,0,3,0,34,-5.0,WALL_HIT,0
2,16,0,3,0,34,UP,LEFT,0,2,0,33,-1.0,MOVE,0
2,17,0,2,0,33,DOWN,LEFT,0,1,0,32,-1.0,MOVE,0
2,18,0,1,0,32,UP,UP,0,1,0,31,-5.0,WALL_HIT,0
2,19,0,1,0,31,LEFT,DOWN,1,1,0,30,-1.0,MOVE,0
2,20,1,1,0,30,DOWN,RIGHT,1,1,0,29,-5.0,WALL_HIT,0
2,21,1,1,0,29,LEFT,LEFT,1,0,0,28,-1.0,MOVE,0
2,22,1,0,0,28,UP,UP,0,0,0,27,-1.0,MOVE,0
2,23,0,0,0,27,RIGHT,RIGHT,0,1,0,26,-1.0,MOVE,0
2,24,0,1,0,26,LEFT,DOWN,1,1,0,25,-1.0,MOVE,0
2,25,1,1,0,25,LEFT,LEFT,1,0,0,24,-1.0,MOVE,0
2,26,1,0,0,24,DOWN,DOWN,2,0,0,23,-1.0,MOVE,0
2,27,2,0,0,23,LEFT,LEFT,2,0,0,22,-5.0,WALL_HIT,0
2,28,2,0,0,22,UP,UP,1,0,0,21,-1.0,MOVE,0
2,29,1,0,0,21,LEFT,LEFT,1,0,0,20,-5.0,WALL_HIT,0
2,30,1,0,0,20,RIGHT,DOWN,2,0,0,19,-1.0,MOVE,0
2,31,2,0,0,19,LEFT,LEFT,2,0,0,18,-5.0,WALL_HIT,0
2,32,2,0,0,18,UP,UP,1,0,0,17,-1.0,MOVE,0
2,33,1,0,0,17,RIGHT,RIGHT,1,1,0,16,-1.0,MOVE,0
2,34,1,1,0,16,LEFT,LEFT,1,0,0,15,-1.0,MOVE,0
2,35,1,0,0,15,LEFT,LEFT,1,0,0,14,-5.0,WALL_HIT,0
2,36,1,0,0,14,RIGHT,UP,0,0,0,13,-1.0,MOVE,0
2,37,0,0,0,13,UP,UP,0,0,0,12,-5.0,WALL_HIT,0
2,38,0,0,0,12,RIGHT,RIGHT,0,1,0,11,-1.0,MOVE,0
2,39,0,1,0,11,RIGHT,RIGHT,0,2,0,10,-1.0,MOVE,0
2,40,0,2,0,10,DOWN,DOWN,0,2,0,9,-5.0,WALL_HIT,0
2,41,0,2,0,9,UP,UP,0,2,0,8,-5.0,WALL_HIT,0
2,42,0,2,0,8,DOWN,DOWN,0,2,0,7,-5.0,WALL_HIT,0
2,43,0,2,0,7,UP,UP,0,2,0,6,-5.0,WALL_HIT,0
2,44,0,2,0,6,LEFT,LEFT,0,1,0,5,-1.0,MOVE,0
2,45,0,1,0,5,DOWN,LEFT,0,0,0,4,-1.0,MOVE,0
2,46,0,0,0,4,UP,UP,0,0,0,3,-5.0,WALL_HIT,0
2,47,0,0,0,3,RIGHT,DOWN,1,0,0,2,-1.0,MOVE,0
2,48,1,0,0,2,RIGHT,RIGHT,1,1,0,1,-1.0,MOVE,0
2,49,1,1,0,1,LEFT,DOWN,2,1,0,0,-21.0,ENERGY_DEPLETED,1
3,0,0,0,0,50,RIGHT,RIGHT,0,1,0,49,-1.0,MOVE,0
3,1,0,1,0,49,LEFT,LEFT,0,0,0,48,-1.0,MOVE,0
3,2,0,0,0,48,UP,UP,0,0,0,47,-5.0,WALL_HIT,0
3,3,0,0,0,47,UP,UP,0,0,0,46,-5.0,WALL_HIT,0
3,4,0,0,0,46,DOWN,DOWN,1,0,0,45,-1.0,MOVE,0
3,5,1,0,0,45,UP,UP,0,0,0,44,-1.0,MOVE,0
3,6,0,0,0,44,LEFT,LEFT,0,0,0,43,-5.0,WALL_HIT,0
3,7,0,0,0,43,DOWN,LEFT,0,0,0,42,-5.0,WALL_HIT,0
3,8,0,0,0,42,UP,UP,0,0,0,41,-5.0,WALL_HIT,0
3,9,0,0,0,41,RIGHT,RIGHT,0,1,0,40,-1.0,MOVE,0
3,10,0,1,0,40,RIGHT,RIGHT,0,2,0,39,-1.0,MOVE,0
3,11,0,2,0,39,DOWN,DOWN,0,2,0,38,-5.0,WALL_HIT,0
3,12,0,2,0,38,LEFT,LEFT,0,1,0,37,-1.0,MOVE,0
3,13,0,1,0,37,LEFT,LEFT,0,0,0,36,-1.0,MOVE,0
3,14,0,0,0,36,RIGHT,RIGHT,0,1,0,35,-1.0,MOVE,0
3,15,0,1,0,35,DOWN,DOWN,1,1,0,34,-1.0,MOVE,0
3,16,1,1,0,34,UP,LEFT,1,0,0,33,-1.0,MOVE,0
3,17,1,0,0,33,UP,UP,0,0,0,32,-1.0,MOVE,0
3,18,0,0,0,32,RIGHT,RIGHT,0,1,0,31,-1.0,MOVE,0
3,19,0,1,0,31,UP,UP,0,1,0,30,-5.0,WALL_HIT,0
3,20,0,1,0,30,DOWN,DOWN,1,1,0,29,-1.0,MOVE,0
3,21,1,1,0,29,RIGHT,RIGHT,1,1,0,28,-5.0,WALL_HIT,0
3,22,1,1,0,28,DOWN,DOWN,2,1,0,27,-1.0,MOVE,0
3,23,2,1,0,27,DOWN,DOWN,3,1,0,26,-1.0,MOVE,0
3,24,3,1,0,26,LEFT,LEFT,3,1,0,25,-5.0,WALL_HIT,0
3,25,3,1,0,25,UP,UP,2,1,0,24,-1.0,MOVE,0
3,26,2,1,0,24,LEFT,LEFT,2,0,0,23,-1.0,MOVE,0
3,27,2,0,0,23,DOWN,DOWN,2,0,0,22,-5.0,WALL_HIT,0
3,28,2,0,0,22,UP,RIGHT,2,1,0,21,-1.0,MOVE,0
3,29,2,1,0,21,LEFT,LEFT,2,0,0,20,-1.0,MOVE,0
3,30,2,0,0,20,DOWN,DOWN,2,0,0,19,-5.0,WALL_HIT,0
3,31,2,0,0,19,DOWN,DOWN,2,0,0,18,-5.0,WALL_HIT,0
3,32,2,0,0,18,RIGHT,RIGHT,2,1,0,17,-1.0,MOVE,0
3,33,2,1,0,17,UP,RIGHT,2,2,0,16,-1.0,MOVE,0
3,34,2,2,0,16,LEFT,DOWN,3,2,0,15,-1.0,MOVE,0
3,35,3,2,0,15,UP,UP,2,2,0,14,-1.0,MOVE,0
3,36,2,2,0,14,RIGHT,RIGHT,2,3,0,13,-1.0,MOVE,0
3,37,2,3,0,13,RIGHT,RIGHT,2,3,0,12,-5.0,WALL_HIT,0
3,38,2,3,0,12,DOWN,DOWN,3,3,0,11,-1.0,MOVE,0
