episode,step,r,c,k,e,action,reward,next_action,q_sa_before,q_next,delta,E_current_pair,num_active_traces,sum_traces,q_sa_after,top3_traces(state|action|E)
0,0,0,0,0,50,LEFT,-5.0,DOWN,0.0,0.0,-5.0,1.0,1,0.7425,-1.0,"(0,0,0,50)|LEFT|0.7425"
0,1,0,0,0,49,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,2,1.2938,-0.2,"(0,0,0,49)|DOWN|0.7425; (0,0,0,50)|LEFT|0.5513"
0,2,1,0,0,48,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,3,1.7032,-0.2,"(1,0,0,48)|UP|0.7425; (0,0,0,49)|DOWN|0.5513; (0,0,0,50)|LEFT|0.4093"
0,3,0,0,0,47,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,4,2.0071,-0.2,"(0,0,0,47)|RIGHT|0.7425; (1,0,0,48)|UP|0.5513; (0,0,0,49)|DOWN|0.4093"
0,4,0,1,0,46,UP,-5.0,UP,0.0,0.0,-5.0,1.0,5,2.2328,-1.0,"(0,1,0,46)|UP|0.7425; (0,0,0,47)|RIGHT|0.5513; (1,0,0,48)|UP|0.4093"
0,5,0,1,0,45,UP,-5.0,DOWN,0.0,0.0,-5.0,1.0,6,2.4003,-1.0,"(0,1,0,45)|UP|0.7425; (0,1,0,46)|UP|0.5513; (0,0,0,47)|RIGHT|0.4093"
0,6,0,1,0,44,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,7,2.5247,-0.2,"(0,1,0,44)|DOWN|0.7425; (0,1,0,45)|UP|0.5513; (0,1,0,46)|UP|0.4093"
0,7,1,1,0,43,RIGHT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,8,2.6171,-0.2,"(1,1,0,43)|RIGHT|0.7425; (0,1,0,44)|DOWN|0.5513; (0,1,0,45)|UP|0.4093"
0,8,2,1,0,42,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,9,2.6857,-0.2,"(2,1,0,42)|RIGHT|0.7425; (1,1,0,43)|RIGHT|0.5513; (0,1,0,44)|DOWN|0.4093"
0,9,2,2,0,41,DOWN,-1.0,DOWN,0.0,0.0,-1.0,1.0,10,2.7366,-0.2,"(2,2,0,41)|DOWN|0.7425; (2,1,0,42)|RIGHT|0.5513; (1,1,0,43)|RIGHT|0.4093"
0,10,3,2,0,40,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,11,2.7745,-0.2,"(3,2,0,40)|DOWN|0.7425; (2,2,0,41)|DOWN|0.5513; (2,1,0,42)|RIGHT|0.4093"
0,11,4,2,0,39,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,12,2.8025,-0.2,"(4,2,0,39)|UP|0.7425; (3,2,0,40)|DOWN|0.5513; (2,2,0,41)|DOWN|0.4093"
0,12,3,2,0,38,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,13,2.8234,-0.2,"(3,2,0,38)|RIGHT|0.7425; (4,2,0,39)|UP|0.5513; (3,2,0,40)|DOWN|0.4093"
0,13,4,2,0,37,UP,-1.0,DOWN,0.0,0.0,-1.0,1.0,14,2.8389,-0.2,"(4,2,0,37)|UP|0.7425; (3,2,0,38)|RIGHT|0.5513; (4,2,0,39)|UP|0.4093"
0,14,3,2,0,36,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,15,2.8504,-0.2,"(3,2,0,36)|DOWN|0.7425; (4,2,0,37)|UP|0.5513; (3,2,0,38)|RIGHT|0.4093"
0,15,4,2,0,35,RIGHT,-1.0,LEFT,0.0,0.0,-1.0,1.0,16,2.8589,-0.2,"(4,2,0,35)|RIGHT|0.7425; (3,2,0,36)|DOWN|0.5513; (4,2,0,37)|UP|0.4093"
0,16,4,3,0,34,LEFT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,17,2.8652,-0.2,"(4,3,0,34)|LEFT|0.7425; (4,2,0,35)|RIGHT|0.5513; (3,2,0,36)|DOWN|0.4093"
0,17,4,2,0,33,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,18,2.8699,-0.2,"(4,2,0,33)|RIGHT|0.7425; (4,3,0,34)|LEFT|0.5513; (4,2,0,35)|RIGHT|0.4093"
0,18,4,3,0,32,UP,-1.0,UP,0.0,0.0,-1.0,1.0,19,2.8734,-0.2,"(4,3,0,32)|UP|0.7425; (4,2,0,33)|RIGHT|0.5513; (4,3,0,34)|LEFT|0.4093"
0,19,4,4,0,31,UP,-5.0,UP,0.0,0.0,-5.0,1.0,20,2.876,-1.0,"(4,4,0,31)|UP|0.7425; (4,3,0,32)|UP|0.5513; (4,2,0,33)|RIGHT|0.4093"
