config,episodes_to_threshold,final_return,final_success,max_active_traces,q_table_kb,seed,success_auc,train_runtime_sec,visited_states,wall_sec
q_learning,96972,43.14,0.6467,,447.6,9,0.1932,19.96,8986,20.0
q_learning,102884,38.85,0.61,,427.8,17,0.1662,19.3,8588,19.4
q_learning,104706,39.07,0.6133,,439.7,23,0.1517,19.63,8826,19.7
q_learning,99716,31.21,0.55,,449.6,42,0.1696,19.7,9025,19.8
q_learning,102270,43.19,0.6433,,447.0,101,0.1645,19.71,8974,19.8
sarsa_lam0.0,77683,64.98,0.8133,1,562.7,9,0.318,22.66,11295,22.7
sarsa_lam0.0,77819,64.6,0.8067,1,568.7,17,0.3141,22.76,11417,22.8
sarsa_lam0.0,76340,64.49,0.8133,1,564.7,23,0.3329,22.94,11336,23.0
sarsa_lam0.0,78570,60.22,0.7933,1,561.4,42,0.313,22.96,11269,23.0
sarsa_lam0.0,78652,61.95,0.7967,1,568.5,101,0.3057,22.81,11413,22.9
sarsa_lam0.3,69043,69.75,0.8533,8,555.3,9,0.3711,31.95,11147,32.0
sarsa_lam0.3,69481,62.16,0.8067,8,551.0,17,0.3745,31.49,11062,31.6
sarsa_lam0.3,69204,72.61,0.87,8,552.9,23,0.3691,31.56,11099,31.6
sarsa_lam0.3,69659,74.3,0.8767,8,555.1,42,0.376,31.78,11144,31.9
sarsa_lam0.3,71049,66.64,0.8367,8,556.7,101,0.3637,31.35,11175,31.4
sarsa_lam0.7,65464,65.01,0.85,26,536.3,9,0.365,47.23,10766,47.3
sarsa_lam0.7,70115,78.02,0.8967,26,537.5,17,0.3658,47.04,10790,47.1
sarsa_lam0.7,67228,71.61,0.86,26,534.5,23,0.3576,47.45,10729,47.5
sarsa_lam0.7,68265,73.01,0.8767,26,539.3,42,0.3594,46.63,10827,46.7
sarsa_lam0.7,66375,70.35,0.85,26,538.0,101,0.3764,47.77,10800,47.8
sarsa_lam0.9,,-26.57,0.0,50,510.2,9,0.0,55.27,10242,55.3
sarsa_lam0.9,,-25.43,0.0,50,517.6,17,0.0,55.16,10391,55.2
sarsa_lam0.9,,-26.26,0.0,50,514.9,23,0.0,55.25,10336,55.3
sarsa_lam0.9,,-26.99,0.0,50,517.1,42,0.0001,55.4,10381,55.5
sarsa_lam0.9,,-27.3,0.0,50,513.3,101,0.0,55.52,10305,55.6
