target,state,cell,key_flag,energy,source_greedy_action,cell_it_moves_into,structural_change,q_gap_best_vs_second,q_source,q_after_target_training,corrected
similar,"(8, 13, 1, 17)","(8, 13)",1,17,UP,"(7, 13)",became WALL,44.6506,"{""UP"": 42.3626, ""DOWN"": -2.288, ""LEFT"": -2.5881, ""RIGHT"": -2.6874}","{""UP"": 42.3626, ""DOWN"": -2.288, ""LEFT"": -2.5881, ""RIGHT"": -2.6874}",no
similar,"(7, 15, 1, 17)","(7, 15)",1,17,LEFT,"(7, 14)",became WALL,39.4302,"{""UP"": 2.41, ""DOWN"": -3.4476, ""LEFT"": 41.8403, ""RIGHT"": -3.5731}","{""UP"": -34.758, ""DOWN"": -34.7489, ""LEFT"": -34.7562, ""RIGHT"": -35.1109}",yes
similar,"(4, 10, 1, 25)","(4, 10)",1,25,RIGHT,"(4, 11)",became WALL,34.6778,"{""UP"": -9.4822, ""DOWN"": -7.9275, ""LEFT"": -8.4054, ""RIGHT"": 26.7503}","{""UP"": -9.9852, ""DOWN"": 14.1862, ""LEFT"": -10.0719, ""RIGHT"": -4.8762}",yes
similar,"(7, 15, 1, 15)","(7, 15)",1,15,LEFT,"(7, 14)",became WALL,33.2781,"{""UP"": -3.4784, ""DOWN"": -1.6933, ""LEFT"": 31.5847, ""RIGHT"": -11.7254}","{""UP"": -33.757, ""DOWN"": -33.5862, ""LEFT"": -33.5815, ""RIGHT"": -32.9499}",yes
similar,"(2, 6, 0, 37)","(2, 6)",0,37,RIGHT,"(2, 7)",became WALL,29.8777,"{""UP"": 11.0429, ""DOWN"": -1.813, ""LEFT"": 21.3676, ""RIGHT"": 51.2454}","{""UP"": 34.8665, ""DOWN"": 19.4083, ""LEFT"": 22.0055, ""RIGHT"": 21.9472}",yes
different,"(12, 12, 1, 5)","(12, 12)",1,5,RIGHT,"(12, 13)",became WALL,65.0723,"{""UP"": -8.015, ""DOWN"": -9.1156, ""LEFT"": -17.9836, ""RIGHT"": 57.0573}","{""UP"": -24.1935, ""DOWN"": -24.7115, ""LEFT"": -24.1222, ""RIGHT"": -26.3432}",yes
different,"(2, 8, 0, 34)","(2, 8)",0,34,UP,"(1, 8)",became PENALTY,57.7451,"{""UP"": 57.5451, ""DOWN"": -0.36, ""LEFT"": -0.2, ""RIGHT"": -0.488}","{""UP"": 57.5451, ""DOWN"": -0.36, ""LEFT"": -0.2, ""RIGHT"": -0.488}",no
different,"(11, 13, 1, 5)","(11, 13)",1,5,DOWN,"(12, 13)",became WALL,55.1339,"{""UP"": -24.1446, ""DOWN"": 58.707, ""LEFT"": -2.5871, ""RIGHT"": 3.573}","{""UP"": 12.1438, ""DOWN"": 8.0325, ""LEFT"": -19.533, ""RIGHT"": 45.1578}",yes
different,"(9, 13, 1, 7)","(9, 13)",1,7,DOWN,"(10, 13)",became WALL,54.3589,"{""UP"": -26.6368, ""DOWN"": 33.5551, ""LEFT"": -20.8038, ""RIGHT"": -24.7746}","{""UP"": -27.3203, ""DOWN"": -28.4385, ""LEFT"": -26.8278, ""RIGHT"": -27.3048}",yes
different,"(2, 8, 0, 33)","(2, 8)",0,33,UP,"(1, 8)",became PENALTY,48.7714,"{""UP"": 57.4509, ""DOWN"": -0.4459, ""LEFT"": 8.6795, ""RIGHT"": -0.488}","{""UP"": 57.4509, ""DOWN"": -0.4459, ""LEFT"": 8.6795, ""RIGHT"": -0.488}",no
