gamma,sweep,max_delta
0.9,1,78.2
0.9,2,56.088000000000015
0.9,3,40.17276000000001
0.9,4,28.750593600000006
0.9,5,23.00389920000001
0.9,6,18.340232880150012
0.9,7,14.75831350085311
0.9,8,11.871410974476127
0.9,9,9.130544916408816
0.9,10,8.215744458373518
0.9,11,7.386854003825475
0.9,12,6.6477006557345435
0.9,13,5.979971600046142
0.9,14,5.381609222187654
0.9,15,4.840422727804471
0.9,16,4.35626693680525
0.9,17,3.918782551108423
0.9,18,3.5267785179034945
0.9,19,3.172644949331497
0.9,20,2.8553075328655257
0.9,21,2.5687701893564867
0.9,22,2.311062153355815
0.9,23,2.0795426558948353
0.9,24,1.8698312661410021
0.9,25,1.6763956636052502
0.9,26,1.5086935798074332
0.9,27,1.3577396473298204
0.9,28,1.2201364667240253
0.9,29,1.0980167410540376
0.9,30,0.9870829317788361
0.9,31,0.8876633650529784
0.9,32,0.7983563323121095
0.9,33,0.7180935892654272
0.9,34,0.6453239927349683
0.9,35,0.5799830276574731
0.9,36,0.5209266667537271
0.9,37,0.46759040429508136
0.9,38,0.42014031103950966
0.9,39,0.37719743321239996
0.9,40,0.3392257683064095
0.9,41,0.3049773268421543
0.9,42,0.27387204574555923
0.9,43,0.2456591548459155
0.9,44,0.22089437621839458
0.9,45,0.1975996392785575
0.9,46,0.17568710930361675
0.9,47,0.15339054082268966
0.9,48,0.1327603860754536
0.9,49,0.11186932824454487
0.9,50,0.09315681191697145
0.9,51,0.0
0.95,1,78.2
0.95,2,59.20400000000001
0.95,3,44.76039000000001
0.95,4,33.813498200000005
0.95,5,28.59424570000001
0.95,6,24.06328191167657
0.95,7,20.450305789777772
0.95,8,17.36504260392241
0.95,9,14.070957540262278
0.95,10,13.36459157930693
0.95,11,12.683842795438364
0.95,12,12.048811829886876
0.95,13,11.440742801164014
0.95,14,10.864930248930003
0.95,15,10.315059342762824
0.95,16,9.782230017649482
0.95,17,9.292569431531666
0.95,18,8.810968161844887
0.95,19,8.36397862379439
0.95,20,7.938507809513389
0.95,21,7.5387349518280935
0.95,22,7.158862399592136
0.95,23,6.800283318071779
0.95,24,6.459987175092985
0.95,25,6.136517351048203
0.95,26,5.829453263052045
0.95,27,5.537511956018051
0.95,28,5.251167191505751
0.95,29,4.987958900156826
0.95,30,4.732992397954633
0.95,31,4.492581970218507
0.95,32,4.264863755154838
0.95,33,4.048120435720191
0.95,34,3.8408773688837843
0.95,35,3.6452902332677524
0.95,36,3.4609826819557963
0.95,37,3.2752184313076826
0.95,38,3.10621513002844
0.95,39,2.946079433186414
0.95,40,2.794849432433196
0.95,41,2.650684815272804
0.95,42,2.511478277460526
0.95,43,2.3824826879105228
0.95,44,2.2623610142510433
0.95,45,2.125473373505965
0.95,46,1.9856762212119623
0.95,47,1.8119501298783476
0.95,48,1.6381274105968515
0.95,49,1.4315376497599068
0.95,50,1.2294694692014296
0.95,51,0.0
0.99,1,78.2
0.99,2,61.69680000000001
0.99,3,48.60903960000001
0.99,4,38.26704008160001
0.99,5,33.75239286672001
0.99,6,29.599676791634426
0.99,7,26.22357342702704
0.99,8,23.205899110793954
0.99,9,19.57043609906119
0.99,10,19.370670485838353
0.99,11,19.156625207334816
0.99,12,18.955783332314134
0.99,13,18.75319594382715
0.99,14,18.52342033163874
0.99,15,18.334686092700686
0.99,16,18.11905739563329
0.99,17,17.9256465091988
0.99,18,17.731517538502505
0.99,19,17.54575453913309
0.99,20,17.369455757218166
0.99,21,17.193792606565417
0.99,22,17.021075493028317
0.99,23,16.849281567793422
0.99,24,16.68006779992935
0.99,25,16.51199416489655
0.99,26,16.346213278285013
0.99,27,16.181378960626493
0.99,28,15.988961006172289
0.99,29,15.826831590555472
0.99,30,15.649921582685765
0.99,31,15.479942064087593
0.99,32,15.313732238211877
0.99,33,15.14724735631917
0.99,34,14.976526114144551
0.99,35,14.812527089667327
0.99,36,14.654115657814163
0.99,37,14.458382179823573
0.99,38,14.287019487841075
0.99,39,14.131008241128038
0.99,40,13.971056956262364
0.99,41,13.789930880923698
0.99,42,13.610309479752628
0.99,43,13.458888203674427
0.99,44,13.319843976980566
0.99,45,13.020199729536035
0.99,46,12.645985433151209
0.99,47,11.952065904696612
0.99,48,10.795007391772117
0.99,49,8.709035314470416
0.99,50,7.188269134048728
0.99,51,0.0
